,word,sentiment_score
0,$:,-1.5
1,%),-0.4
2,%-),-1.5
3,&-:,-0.4
4,&:,-0.7
5,( '}{' ),1.6
6,(%,-0.9
7,('-:,2.2
8,(':,2.3
9,((-:,2.1
10,(*,1.1
11,(-%,-0.7
12,(-*,1.3
13,(-:,1.6
14,(-:0,2.8
15,(-:<,-0.4
16,(-:o,1.5
17,(-:O,1.5
18,(-:{,-0.1
19,(-:|>*,1.9
20,(-;,1.3
21,(-;|,2.1
22,(8,2.6
23,(:,2.2
24,(:0,2.4
25,(:<,-0.2
26,(:o,2.5
27,(:O,2.5
28,(;,1.1
29,(;<,0.3
30,(=,2.2
31,(?:,2.1
32,(^:,1.5
33,(^;,1.5
34,(^;0,2.0
35,(^;o,1.9
36,(o:,1.6
37,)':,-2.0
38,)-':,-2.1
39,)-:,-2.1
40,)-:<,-2.2
41,)-:{,-2.1
42,):,-1.8
43,):<,-1.9
44,):{,-2.3
45,);<,-2.6
46,*),0.6
47,*-),0.3
48,*-:,2.1
49,*-;,2.4
50,*:,1.9
51,*<|:-),1.6
52,*\0/*,2.3
53,*^:,1.6
54,",-:",1.2
55,---'-;-{@,2.3
56,--<--<@,2.2
57,.-:,-1.2
58,..###-:,-1.7
59,..###:,-1.9
60,/-:,-1.3
61,/:,-1.3
62,/:<,-1.4
63,/=,-0.9
64,/^:,-1.0
65,/o:,-1.4
66,0-8,0.1
67,0-|,-1.2
68,0:),1.9
69,0:-),1.4
70,0:-3,1.5
71,0:03,1.9
72,0;^),1.6
73,0_o,-0.3
74,10q,2.1
75,1337,2.1
76,143,3.2
77,1432,2.6
78,14aa41,2.4
79,182,-2.9
80,187,-3.1
81,2g2b4g,2.8
82,2g2bt,-0.1
83,2qt,2.1
84,3:(,-2.2
85,3:),0.5
86,3:-(,-2.3
87,3:-),-1.4
88,4col,-2.2
89,4q,-3.1
90,5fs,1.5
91,8),1.9
92,8-d,1.7
93,8-o,-0.3
94,86,-1.6
95,8d,2.9
96,:###..,-2.4
97,:$,-0.2
98,:&,-0.6
99,:'(,-2.2
100,:'),2.3
101,:'-(,-2.4
102,:'-),2.7
103,:(,-0.09489263781939744
104,:),0.8184647707926451
105,:*,2.5
106,:-###..,-2.5
107,:-&,-0.5
108,:-(,-0.44696861115092446
